source,target,desc
Warding Stance,招架姿态,斩仇的技能
Whirlwind Dash,旋风疾步,斩仇的技能
Projected Edge,锋锐剑气,斩仇的技能
Soaring Slice,飞空斩击,斩仇的技能
Sundering Blade,斩地巨剑,斩仇的终极技能
Extra Edge,充盈剑气,斩仇的威能
Swift Vengeance,快意恩仇,斩仇的威能
Relentless,无情君威,斩仇的威能
Raging Storm,狂怒风暴,斩仇的威能
Siphoning Strike,虹吸斩击,斩仇的威能
Explorer's Resolve,探险家的决心,探奇的被动技能
Clobber,猛钻,探奇的被动技能
SMART Excavator,智能挖掘钻,探奇的武器
Burrow,钻地,探奇的技能
Drill Dash,钻头突刺,探奇的技能
Tectonic Shock,地壳震击,探奇的终极技能
Covered In Dirt,尘土满身,探奇的威能
SMART Extender,智能延展器,探奇的威能
Deep Burrow,深岩掘地,探奇的威能
Excavation Exhilaration,轰轰钻机汹汹来袭,探奇的威能
Take Aim,瞄准射击,黑百合的武器
Widow's Kiss,黑百合之吻,黑百合的武器
Venom Mine,剧毒诡雷,黑百合的技能
Hooked,抓钩,黑百合的技能
Infra-Sight,红外侦测,黑百合的终极技能
Seeker Mine,寻敌诡雷,黑百合的威能
Escape Plan,撤离计划,黑百合的威能
Sniper's Instinct,狙击手的直觉,黑百合的威能
Scoped Efficiency,高效开镜,黑百合的威能
Widow's Bite,黑百合之噬,黑百合的威能
Tesla Cannon,特斯拉炮,温斯顿的武器
Jump Pack,喷射背包,温斯顿的技能
Barrier Projector,屏障发射器,温斯顿的技能
Primal Rage,原始暴怒,温斯顿的终极技能
Revitalizing Barrier,复苏屏障,温斯顿的威能
Heavy Landing,天降巨猩,温斯顿的威能
Barrier Toss,屏障投掷,温斯顿的威能
Electric Charge,电能快充,温斯顿的威能
Chain Lightning,连锁闪电,温斯顿的威能
Quad Cannons,四联火炮,破坏球的武器
Roll,动力铁球,破坏球的技能
Grappling Claw,工程抓钩,破坏球的技能
Adaptive Shield,感应护盾,破坏球的技能
Piledriver,重力坠击,破坏球的技能
Minefield,地雷禁区,破坏球的终极技能
Multi-Ball,多重地雷,破坏球的威能
Adaptive Barrier,感应屏障,破坏球的威能
Hang Time,滞空时间,破坏球的威能
Pack Rat,爱包之鼠,破坏球的威能
Steamroller,重装压路机,破坏球的威能
Restorative Stream,养神泉,无漾的武器
Xuanwu Staff,玄武杖,无漾的武器
Guardian Wave,翻江浪,无漾的技能
Rushing Torrent,飞流步,无漾的技能
Tidal Blast,惊涛破,无漾的终极技能
Falling Rain,暴雨倾盆,无漾的威能
Overflow,水满则溢,无漾的威能
Ebb and Flow,潮涨潮落,无漾的威能
Balance,阴阳平衡,无漾的威能
Energy,能量转换,查莉娅的被动技能
Particle Cannon,粒子炮,查莉娅的武器
Projected Barrier,投射屏障,查莉娅的技能
Particle Barrier,粒子屏障,查莉娅的技能
Graviton Surge,重力喷涌,查莉娅的终极技能
Spotter,前线哨兵,查莉娅的威能
Jump-Ups,弹跳训练,查莉娅的威能
Extra Oomph,能量加码,查莉娅的威能
Energy Converter,能量转换器,查莉娅的威能
Energy Lance,能量长枪,查莉娅的威能
Snap Kick,蹬,禅雅塔的被动技能
Orb of Destruction,灭,禅雅塔的武器
Orb of Discord,乱,禅雅塔的技能
Orb of Harmony,谐,禅雅塔的技能
Transcendence,圣,禅雅塔的终极技能
Discordant Repair,乱中求存,禅雅塔的威能
Transcendent Condemnation,以圣罚乱,禅雅塔的威能
Focused Destruction,凝神寂灭,禅雅塔的威能
Dual Harmony,双音谐奏,禅雅塔的威能
Ascendance,悬空参禅,禅雅塔的威能
